HCT116_pH7A	HCT116_pH7B	HCT116_pH7C	HCT116_pH6A	HCT116_pH6B	HCT116_pH6C	Me3pH7A	Me3pH7B	Me3pH6A	Me3pH6B	Me3pH6C	Me3pH7C
ENSG00000243995	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244000	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244002	0	0	0	1	1	0	0	0	0	0	0	0
ENSG00000244003	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244004	11	9	1	8	3	3	0	0	0	0	0	0
ENSG00000244005	430	414	497	457	485	369	445	545	563	666	544	458
ENSG00000244006	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244008	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244009	1	5	2	6	8	2	2	0	1	2	10	4
ENSG00000244018	1	0	0	0	3	1	1	0	0	0	0	2
ENSG00000244019	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244020	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244021	0	3	5	2	7	5	1	1	0	3	0	1
ENSG00000244024	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244025	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244026	91	103	122	220	250	140	221	145	191	295	217	282
ENSG00000244030	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244031	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244033	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000244034	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244036	0	0	1	0	0	1	0	0	0	2	0	0
ENSG00000244038	2881	3830	4469	4488	3953	3864	4272	2710	3568	5210	5355	5153
ENSG00000244039	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244040	0	1	0	1	0	1	0	0	0	0	0	0
ENSG00000244041	19	10	17	20	35	38	23	20	23	16	17	15
ENSG00000244043	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244044	0	0	0	0	0	0	0	4	0	1	1	0
ENSG00000244045	355	345	335	241	231	199	453	521	317	308	347	398
ENSG00000244048	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244050	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244052	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244053	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244055	5	0	5	3	13	0	1	3	2	2	3	5
ENSG00000244056	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244057	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244060	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244061	0	0	0	0	1	0	0	0	0	1	0	0
ENSG00000244062	0	0	0	0	1	0	2	3	1	2	1	1
ENSG00000244063	0	0	0	0	0	0	0	0	0	2	0	0
ENSG00000244065	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244066	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244067	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244071	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244073	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000244076	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244078	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244080	1	0	2	1	2	1	0	1	0	0	0	0
ENSG00000244081	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244083	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244086	2	3	4	3	3	2	23	17	24	21	18	24
ENSG00000244088	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244089	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244091	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244094	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244097	3	7	8	1	10	2	7	6	2	2	2	3
ENSG00000244099	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244101	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244104	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244107	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244112	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244113	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244115	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244116	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244117	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244119	20	25	22	18	24	16	23	46	24	28	27	32
ENSG00000244122	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244124	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000244125	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244128	0	0	0	0	1	3	0	0	0	1	2	0
ENSG00000244130	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244131	0	0	0	0	0	0	1	0	2	0	0	0
ENSG00000244134	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244137	0	0	0	0	1	0	0	0	4	0	0	0
ENSG00000244139	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244142	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244144	0	0	0	1	1	1	1	1	0	0	0	2
ENSG00000244146	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244151	4	4	1	5	4	1	3	4	2	1	3	3
ENSG00000244152	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244153	15	10	18	13	14	9	18	15	19	9	14	9
ENSG00000244155	0	0	0	0	0	0	0	1	5	3	3	1
ENSG00000244157	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244158	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244159	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244161	0	0	0	0	0	0	0	1	0	0	0	1
ENSG00000244165	36	37	47	44	29	47	46	15	7	23	25	68
ENSG00000244167	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000244169	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244171	54	58	72	72	86	76	44	30	52	78	97	70
ENSG00000244176	0	0	0	0	3	0	0	0	0	0	1	0
ENSG00000244180	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244183	1	2	0	1	0	0	0	0	0	0	0	0
ENSG00000244184	6	2	1	1	3	2	4	2	1	3	3	3
ENSG00000244186	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244187	125	207	262	611	476	322	85	39	64	141	180	140
ENSG00000244192	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244193	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244194	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244196	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244197	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244198	5	11	7	8	8	8	12	5	33	36	21	2
ENSG00000244199	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244203	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244207	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244211	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244213	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244214	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244215	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244217	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244218	5	5	5	1	11	9	11	16	13	12	13	15
ENSG00000244219	4	2	3	12	11	4	0	0	4	7	2	0
ENSG00000244222	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244226	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244227	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244229	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244230	2	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244231	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244232	4	1	0	0	0	1	0	0	0	1	0	0
ENSG00000244234	5	2	0	0	2	3	0	0	3	2	0	4
ENSG00000244235	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244236	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244237	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244239	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244242	1	0	0	4	5	0	0	0	0	1	6	4
ENSG00000244244	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244245	2	0	1	2	1	1	1	1	2	0	0	5
ENSG00000244246	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244247	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244249	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244251	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244252	0	0	0	0	2	1	2	0	1	3	2	1
ENSG00000244253	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244255	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244256	2	1	0	1	1	3	2	8	0	5	2	8
ENSG00000244257	0	0	3	0	0	0	0	0	0	1	0	1
ENSG00000244259	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244260	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244264	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244265	2	0	0	1	0	0	0	0	0	0	1	1
ENSG00000244266	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000244267	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000244268	1	0	1	0	1	0	0	0	0	0	0	1
ENSG00000244270	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244273	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244274	2	7	4	19	14	12	7	2	7	3	3	5
ENSG00000244278	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244280	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000244281	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244283	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244286	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244289	0	0	0	1	3	0	0	0	0	0	0	0
ENSG00000244291	2	2	0	2	8	2	37	29	37	32	42	40
ENSG00000244292	0	1	0	0	1	0	0	0	0	0	1	0
ENSG00000244294	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244295	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244296	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244297	0	0	0	0	0	0	0	0	0	0	1	0
ENSG00000244300	11	14	20	23	48	14	25	22	10	9	5	16
ENSG00000244301	0	0	0	0	0	1	0	0	0	0	0	1
ENSG00000244302	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244306	22	24	20	11	30	9	306	337	219	285	282	291
ENSG00000244307	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244308	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244310	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000244313	2191	3681	4410	5061	4829	3518	2383	1383	1421	2955	3977	5405
ENSG00000244314	1	1	0	0	0	0	0	0	2	0	0	5
ENSG00000244318	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244321	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244326	0	0	0	0	2	0	0	0	0	0	0	0
ENSG00000244327	4	4	1	3	4	7	1	2	0	1	2	5
ENSG00000244328	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244329	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244331	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244332	12	6	7	2	8	2	2	0	0	0	1	0
ENSG00000244335	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244337	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244342	0	0	0	0	0	0	6	1	0	0	1	6
ENSG00000244345	0	0	0	0	0	0	0	0	0	1	0	1
ENSG00000244346	5	1	0	1	3	1	3	2	0	2	1	1
ENSG00000244349	0	0	0	0	2	1	1	0	1	0	2	1
ENSG00000244355	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244356	0	0	0	0	2	0	0	0	0	0	0	0
ENSG00000244357	8	3	1	1	0	5	0	1	1	2	1	0
ENSG00000244358	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244361	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244362	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244363	78	81	58	47	30	44	71	99	44	39	40	69
ENSG00000244371	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244372	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244376	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244378	3	2	0	8	0	2	1	2	0	0	0	2
ENSG00000244380	0	0	1	3	1	0	0	1	0	0	0	1
ENSG00000244381	0	1	2	1	3	0	0	1	1	0	3	2
ENSG00000244382	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000244383	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000244384	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244389	2	1	1	2	1	0	1	1	0	3	1	2
ENSG00000244390	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244391	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244392	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244393	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244395	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244398	3329	3963	4304	4793	6493	4662	2702	3405	2461	2987	2028	2723
ENSG00000244399	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244400	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244402	0	0	0	0	0	0	4	3	6	4	5	2
ENSG00000244404	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244405	768	832	1032	927	926	737	2336	2705	2129	2112	2377	2577
ENSG00000244411	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244413	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244414	1	0	0	1	1	0	4	2	2	0	0	0
ENSG00000244422	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244424	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244425	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244427	1	0	0	1	0	0	0	0	0	0	0	0
ENSG00000244429	0	0	0	0	0	1	1	0	0	3	1	0
ENSG00000244432	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244433	0	0	1	0	1	0	0	0	1	0	0	0
ENSG00000244436	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244437	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244438	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244439	4	6	2	4	3	1	7	5	2	3	1	2
ENSG00000244441	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244444	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244451	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244456	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244457	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244459	0	1	2	2	4	1	0	0	0	0	0	0
ENSG00000244461	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244462	2456	2831	2804	2226	2199	2334	2004	2190	1448	1463	1809	2107
ENSG00000244464	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244468	1	0	0	3	2	1	0	2	0	0	0	0
ENSG00000244470	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244471	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244472	0	0	0	0	1	0	0	0	0	0	2	0
ENSG00000244474	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244476	0	0	0	1	0	0	1	0	0	0	0	0
ENSG00000244479	16	27	30	61	84	57	7	6	54	35	57	8
ENSG00000244480	2	0	0	0	10	2	0	0	3	0	2	0
ENSG00000244482	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244485	0	0	0	0	0	0	1	3	4	2	1	4
ENSG00000244486	0	0	1	6	2	2	7	2	10	15	21	18
ENSG00000244490	12	16	13	8	13	12	9	7	3	7	5	15
ENSG00000244491	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000244493	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244501	2	0	0	0	2	2	0	0	0	0	0	0
ENSG00000244502	1	1	2	0	0	1	1	0	0	0	0	0
ENSG00000244503	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244509	38	25	54	82	26	93	70	87	80	117	123	132
ENSG00000244510	0	1	0	0	0	0	0	0	1	0	0	0
ENSG00000244512	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244513	1	3	2	4	4	2	0	4	3	3	3	0
ENSG00000244514	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244515	0	0	0	0	0	0	0	0	0	0	0	2
ENSG00000244521	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244522	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244527	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000244528	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244531	1	0	0	0	0	0	0	0	0	1	0	0
ENSG00000244532	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244534	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244535	0	0	0	0	0	0	0	0	0	0	2	0
ENSG00000244537	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244538	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244540	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244541	0	0	0	4	3	1	0	0	0	0	0	0
ENSG00000244544	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244545	0	0	0	0	0	1	0	0	1	0	0	0
ENSG00000244550	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244551	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244556	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244558	0	0	6	3	9	6	2	1	6	3	5	1
ENSG00000244559	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244560	16	15	17	43	50	52	8	3	11	3	8	8
ENSG00000244561	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244563	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244564	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244565	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244567	15	12	22	19	14	12	20	21	33	30	21	8
ENSG00000244568	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244571	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244573	0	0	0	1	0	0	0	0	1	2	0	0
ENSG00000244575	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244578	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244582	1	4	3	3	0	4	0	1	0	0	2	0
ENSG00000244585	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244586	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000244588	1	1	0	1	2	4	5	16	12	24	10	7
ENSG00000244593	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244599	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244604	1	1	1	0	2	0	0	0	0	0	0	0
ENSG00000244607	17	8	15	19	22	10	0	0	0	3	3	0
ENSG00000244609	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000244610	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244612	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244615	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244617	4	8	5	7	8	1	0	0	1	0	2	0
ENSG00000244618	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244619	0	0	0	2	1	0	5	4	2	1	3	1
ENSG00000244620	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244621	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244623	0	0	0	0	2	0	0	0	0	0	0	0
ENSG00000244624	0	0	0	0	0	0	0	1	0	1	0	0
ENSG00000244625	24	19	22	28	40	19	29	34	32	25	38	24
ENSG00000244627	28	14	19	31	34	33	41	31	28	29	26	33
ENSG00000244630	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244632	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000244640	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244641	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244642	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244646	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244649	10	8	10	26	19	16	0	0	0	0	0	1
ENSG00000244650	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244652	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244653	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244656	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244657	2	2	2	4	0	0	0	0	1	2	0	0
ENSG00000244661	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244662	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244666	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244668	2	0	0	0	0	0	0	2	0	0	0	0
ENSG00000244669	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244671	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244672	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244674	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244675	21	20	39	34	66	35	33	43	37	39	61	35
ENSG00000244676	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244677	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244681	0	0	0	0	0	0	1	1	1	2	0	0
ENSG00000244682	0	0	0	0	0	0	0	0	1	0	1	2
ENSG00000244687	112	76	52	76	93	104	64	63	38	51	44	63
ENSG00000244691	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244692	1	0	0	1	0	0	0	0	0	0	0	0
ENSG00000244693	28	32	30	46	44	48	0	0	2	1	0	0
ENSG00000244694	16	16	13	104	68	50	62	100	250	310	167	43
ENSG00000244695	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244699	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244701	12	9	13	10	10	8	2	6	3	6	10	4
ENSG00000244703	7	16	6	11	30	23	0	0	0	0	0	0
ENSG00000244705	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244706	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244708	0	0	0	0	0	0	1	0	1	0	0	1
ENSG00000244710	4	1	0	2	4	3	1	0	0	0	1	0
ENSG00000244712	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244716	1833	2076	2303	2136	2616	2119	913	1179	764	1010	756	1084
ENSG00000244717	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244720	0	0	0	1	0	1	1	0	1	0	0	2
ENSG00000244721	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244722	0	1	1	0	0	0	0	0	1	0	0	0
ENSG00000244723	0	2	1	1	0	0	0	0	0	3	0	0
ENSG00000244730	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244731	1	1	1	0	0	0	0	0	0	2	0	0
ENSG00000244732	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244733	0	0	0	0	0	0	0	0	0	0	2	0
ENSG00000244734	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000244736	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244738	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244740	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244743	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244748	8	3	2	1	3	2	1	0	0	0	0	1
ENSG00000244752	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244753	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244754	1322	1263	1454	1633	1944	1834	848	1127	1011	1141	937	923
ENSG00000244756	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244757	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244791	0	0	0	0	0	0	1	0	0	1	1	2
ENSG00000244879	264	214	188	252	336	250	62	72	36	46	56	89
ENSG00000244921	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244926	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244932	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000244945	2	2	4	4	6	1	3	1	0	4	1	0
ENSG00000244952	0	0	0	0	0	0	0	1	1	1	1	2
ENSG00000244953	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244968	1	1	0	0	5	1	18	20	35	33	15	23
ENSG00000244998	1	1	2	2	1	1	0	0	0	0	0	0
ENSG00000245008	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000245017	3	0	0	0	3	3	0	0	3	2	0	1
ENSG00000245025	4	6	4	2	16	2	9	4	6	3	9	9
ENSG00000245059	2	1	1	0	0	1	0	0	2	0	0	0
ENSG00000245060	69	52	71	106	168	73	79	74	111	119	99	76
ENSG00000245067	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000245080	0	0	0	2	0	1	1	4	0	1	0	0
ENSG00000245105	7	2	1	5	10	4	0	1	1	5	0	1
ENSG00000245112	0	1	0	0	0	0	0	0	0	0	0	0
ENSG00000245146	6	15	6	11	21	10	14	9	10	13	12	13
ENSG00000245148	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000245149	62	54	33	47	66	41	34	23	16	18	19	22
ENSG00000245156	0	0	1	0	3	0	0	0	0	0	0	0
ENSG00000245164	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000245205	3	2	5	2	9	7	2	2	2	2	2	4
ENSG00000245213	16	12	9	14	8	7	5	9	17	9	10	15
ENSG00000245248	54	58	63	63	63	63	7	4	1	6	5	3
ENSG00000245261	11	3	4	4	5	4	2	3	2	6	4	5
ENSG00000245275	5	7	0	3	5	3	0	2	0	1	3	2
ENSG00000245281	2	1	4	1	6	1	5	3	9	11	9	2
ENSG00000245293	0	1	1	1	1	2	3	0	1	0	0	1
ENSG00000245311	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000245317	6	9	1	5	9	11	5	11	5	8	4	7
ENSG00000245322	0	0	0	0	1	1	0	2	0	0	0	0
ENSG00000245330	0	0	0	0	0	0	0	0	0	1	0	0
ENSG00000245384	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000245385	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000245466	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000245468	0	0	3	2	5	4	0	0	0	0	0	6
ENSG00000245479	0	0	0	1	0	0	0	0	0	0	0	0
ENSG00000245482	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000245498	2	8	4	9	11	2	3	6	3	6	5	5
ENSG00000245522	29	45	45	12	15	19	12	7	7	1	6	8
ENSG00000245526	0	0	1	0	0	0	62	44	59	38	25	58
ENSG00000245532	2926	893	1317	2667	3900	2839	4662	3175	4447	2913	4989	5217
ENSG00000245534	13	14	5	16	26	10	5	8	9	13	11	7
ENSG00000245552	2	3	1	2	9	1	9	10	16	13	8	9
ENSG00000245556	23	14	17	34	70	32	26	15	34	45	32	16
ENSG00000245571	23	23	20	37	34	47	9	6	8	11	13	3
ENSG00000245573	3	4	7	31	28	15	0	3	11	23	11	1
ENSG00000245598	0	0	0	0	1	0	1	1	0	1	0	1
ENSG00000245614	24	23	12	32	46	29	4	9	27	25	32	10
ENSG00000245648	9	13	22	6	6	12	8	4	3	4	4	2
